ID,Name,Meal,Tags,Servings,Ingredients,Method,Calories_per_serving,Protein_g_per_serving,Carbs_g_per_serving,Fat_g_per_serving,Fibre_g_per_serving,Allergen_and_diet_notes
82,Grilled Vegetable and Hummus Wrap,Lunch,Vgn,1,1 large wrap;100 g hummus;150 g grilled veg mix;30 g rocket;15 ml olive oil,"Warm the wrap briefly in a dry pan if desired. Spread the hummus evenly over the wrap, then add the grilled vegetables and rocket. Drizzle with olive oil, roll up tightly, slice in half and serve.",420.0,12.0,48.0,18.0,8.0,Contains sesame in hummus; use seed butter for NF
83,Chicken and Avocado Salad Bowl,Lunch,P GF,2,300 g grilled chicken sliced;100 g avocado diced;100 g mixed leaves;50 g quinoa cooked;15 ml lemon dressing,Assemble chicken avocado leaves and quinoa drizzle dressing serve,480.0,36.0,28.0,22.0,7.0,Contains none common; naturally gluten-free
84,Vegetarian Chili with Cornbread,Dinner,Vgt,6,400 g mixed beans;400 g canned tomatoes;1 onion chopped;2 garlic cloves minced;200 g cornmeal;200 ml milk;2 eggs,Make chili simmer 30 minutes bake cornbread combine and serve,520.0,22.0,72.0,16.0,12.0,Contains egg and dairy in cornbread; use DF milk and egg replacer for DF
85,Grilled Lemon Herb Chicken,Dinner,P GF,4,800 g chicken breast marinated;30 ml olive oil;15 ml lemon juice;herbs grill 12–15 minutes slice and serve with salad,420.0,44.0,4.0,18.0,1.5,Contains none common; naturally gluten-free,
86,Spinach Mushroom Frittata,Dinner,Vgt GF,6,8 eggs;200 g spinach wilted;150 g mushrooms sliced;30 g parmesan;15 ml olive oil,Whisk eggs stir in veg and cheese bake 20–25 minutes until set slice and serve,320.0,20.0,6.0,22.0,2.5,Contains egg and dairy; use DF cheese for DF
87,Seared Scallops with Pea Purée,Dinner,P GF,2,200 g scallops;150 g peas;15 ml olive oil;15 ml lemon juice;10 g butter,Blanch peas blend with lemon and oil sear scallops 1–2 minutes each side serve on pea purée,380.0,28.0,18.0,18.0,4.0,Contains shellfish and dairy; use DF butter for DF
88,Buttermilk Fried Chicken Sandwich,Dinner,P,4,600 g chicken pieces marinated;200 g buttermilk;200 g flour;4 burger buns;100 g coleslaw,Coat marinated chicken in flour deep fry assemble on buns with coleslaw serve,720.0,40.0,56.0,36.0,2.5,Contains gluten and dairy; use GF flour and DF buttermilk for DF GF
89,Roasted Beetroot and Goat Cheese Salad,Lunch,Vgt GF,2,400 g roasted beetroot;50 g goat cheese;30 g walnuts;30 g rocket;15 ml balsamic,Assemble beetroot goat cheese walnuts and rocket drizzle balsamic serve,380.0,12.0,28.0,24.0,5.0,Contains dairy and tree nuts; use dairy-free cheese and omit nuts for DF NF
90,Spicy Korean Beef Bowl,Lunch,P,2,400 g beef mince;30 ml gochujang sauce;200 g cooked rice;100 g kimchi;15 ml sesame oil,Sauté beef add gochujang simmer serve over rice with kimchi drizzle sesame oil,520.0,36.0,60.0,18.0,3.5,Contains soy and sesame; check kimchi for fish ingredients for DF
91,Vegetable Samosa Bake,Dinner,Vgt,6,400 g mixed veg;200 g potatoes mashed;100 g peas;200 g samosa pastry sheets;spices layer and bake 30 minutes serve,480.0,12.0,64.0,20.0,8.0,Contains gluten; use GF pastry for GF,
92,Grilled Pork Chops with Apple Slaw,Dinner,P GF,2,400 g pork chops;150 g apple slaw;15 ml olive oil;15 ml apple cider vinegar,Grill pork chops 6–8 minutes each side rest serve with apple slaw,520.0,44.0,12.0,28.0,2.5,Contains none common; naturally gluten-free
93,Vegetarian Pad Thai,Dinner,Vgt,2,200 g rice noodles;100 g tofu;50 g bean sprouts;30 g peanuts crushed;30 ml tamarind sauce;15 ml soy sauce,Soak noodles cook toss with tofu sprouts sauce and peanuts serve,520.0,22.0,72.0,18.0,6.5,Contains peanuts and soy; use seed butter for nut-free
94,Chicken and Chorizo Jambalaya,Dinner,P,4,400 g chicken thigh diced;150 g chorizo sliced;200 g rice;400 ml stock;200 g mixed veg,Sauté chorizo and chicken add rice stock and veg simmer 20–25 minutes until rice cooked serve,620.0,36.0,64.0,24.0,4.0,Contains pork and gluten in some chorizo; check labels
95,Roasted Salmon with Lentil Salad,Dinner,P GF,2,300 g salmon fillets;150 g cooked green lentils;50 g rocket;15 ml lemon dressing,"Roast the salmon fillets at 200°C for 12–15 minutes until just cooked through. In a bowl, toss the warm lentils with rocket and lemon dressing. Serve the salmon on top of the lentil salad and drizzle with any remaining dressing.",520.0,36.0,34.0,22.0,6.5,Contains fish; naturally gluten-free
96,Vegetable and Bean Enchiladas,Dinner,Vgt,6,400 g mixed beans;200 g corn;200 g enchilada sauce;8 corn tortillas;200 g vegan cheese,Mix beans corn and sauce fill tortillas top with cheese bake 20 minutes serve,480.0,18.0,64.0,18.0,12.0,Contains corn and legumes; use GF tortillas for GF
97,Grilled Lamb Chops with Mint Yogurt,Dinner,P GF,2,400 g lamb chops;60 g mint yogurt;200 g roasted potatoes,Grill lamb chops to preference rest serve with mint yogurt and potatoes,640.0,44.0,36.0,36.0,2.5,Contains dairy in yogurt; use dairy-free yogurt for DF
98,Roasted Pepper and Tomato Soup,Lunch,Vgt GF,4,800 g roasted tomatoes and peppers;1 L vegetable stock;15 ml olive oil;30 g basil,"If using raw vegetables, roast the tomatoes and peppers with olive oil at 200°C until softened and slightly charred. Add the roasted vegetables to a pot with the vegetable stock, olive oil and basil. Simmer for 5–10 minutes, then blend until smooth. Adjust seasoning and serve hot.",220.0,6.0,28.0,8.0,6.0,Naturally gluten-free; suitable for vegan diets
99,Chicken and Pesto Pasta Salad,Lunch,P,4,400 g cooked pasta;300 g grilled chicken sliced;60 g pesto;100 g cherry tomatoes halved;30 g parmesan,Combine pasta chicken tomatoes and pesto toss and chill serve topped with parmesan,520.0,36.0,56.0,18.0,4.0,Contains gluten and dairy; use GF pasta and DF cheese for DF GF
100,Vegetable Tagine with Couscous,Dinner,Vgt,4,400 g mixed veg;200 g chickpeas;400 g canned tomatoes;200 g couscous;spices simmer and serve,420.0,14.0,64.0,10.0,10.0,Contains gluten in couscous; use quinoa for GF,
101,Grilled Swordfish with Salsa Verde,Dinner,P GF,2,300 g swordfish steaks;30 g salsa verde;200 g new potatoes,Grill swordfish 4–5 minutes each side serve with salsa and potatoes,520.0,40.0,28.0,22.0,2.0,Contains fish; naturally gluten-free
102,Vegetarian Shepherds Pie,Dinner,Vgt,6,400 g lentil ragu;600 g mashed potato topping;200 g mixed veg layer and bake 25–30 minutes serve,480.0,22.0,64.0,14.0,8.0,Contains none common; suitable for vegan if mash made with plant milk,
103,Spicy Szechuan Eggplant,Dinner,Vgn GF,4,600 g eggplant diced;30 ml soy sauce;15 ml rice vinegar;15 ml sesame oil;chili flakes stir fry and serve with rice,420.0,8.0,36.0,28.0,8.5,Contains soy and sesame; use tamari for GF,
104,Chicken Marbella Meal Prep,Dinner,P,6,1 kg chicken thighs;200 g prunes;100 g olives;60 ml red wine vinegar;30 g capers slow cook or bake 40–45 minutes serve,560.0,38.0,24.0,28.0,2.5,Contains none common; naturally gluten-free,
105,Vegetable Kebab with Tzatziki,Lunch,Vgt,4,400 g mixed veg chunks;200 g halloumi cubes optional;30 ml olive oil;200 g tzatziki,"Thread the vegetables and halloumi onto skewers, brush with olive oil and grill for 8–10 minutes, turning until golden. Serve hot with tzatziki.",420.0,18.0,28.0,24.0,5.0,Contains dairy in halloumi and tzatziki; use DF alternatives for DF
106,Beef and Ale Pie,Dinner,P,6,800 g beef stewing steak;200 g ale;400 g beef stock;300 g pastry top bake 1.5–2 hours until tender serve,720.0,44.0,48.0,36.0,3.0,Contains gluten and alcohol; use GF pastry and non alcoholic stock for GF,
107,Roasted Cauliflower Tacos,Lunch,Vgn GF,4,600 g cauliflower florets;15 ml olive oil;spices roast 25 minutes;8 corn tortillas;50 g avocado mash assemble and serve,380.0,10.0,48.0,18.0,10.0,Naturally gluten-free if using corn tortillas; contains cruciferous veg,
108,Chicken and Leek Pie,Dinner,P,6,600 g chicken breast diced;200 g leeks sliced;200 g light cream;300 g shortcrust pastry top bake 35–40 minutes serve,560.0,36.0,44.0,24.0,2.5,Contains gluten and dairy; use DF cream and GF pastry for DF GF,
109,Vegetable Biryani,Dinner,Vgt GF,6,400 g basmati rice;800 ml vegetable stock;300 g mixed veg;spices cook 20–25 minutes serve with raita optional,480.0,12.0,84.0,12.0,8.0,Contains dairy if raita used; use DF raita for DF,
110,Grilled Mackerel with Salsa,Lunch,P GF,2,300 g mackerel fillets;50 g tomato salsa;15 ml olive oil,Grill mackerel 6–8 minutes serve with salsa and salad,420.0,36.0,4.0,28.0,1.0,Contains fish; naturally gluten-free
111,Vegetarian Stuffed Cabbage Rolls,Dinner,Vgt,6,8 cabbage leaves blanched;300 g rice cooked;200 g lentil ragu;400 g tomato sauce;roll fill and bake 30 minutes serve,420.0,18.0,64.0,10.0,9.0,Contains legumes and rice; suitable for vegan diets,
112,Spicy Chicken and Pineapple Skewers,Dinner,P,4,400 g chicken breast cubes;200 g pineapple chunks;30 ml sweet chili glaze;skewer and grill 8–10 minutes serve,480.0,36.0,36.0,18.0,1.8,Contains none common; check glaze for allergens,
113,Roasted Vegetable Frittata,Dinner,Vgt GF,6,8 eggs;300 g roasted veg;30 g feta crumble;15 ml olive oil,Whisk eggs stir in veg and feta bake 20–25 minutes until set slice and serve,360.0,22.0,8.0,24.0,4.0,Contains egg and dairy; use DF cheese for DF
114,Beef Rendang with Coconut Rice,Dinner,P GF optional,4,800 g beef chunks;200 g rendang paste;400 ml coconut milk;300 g jasmine rice cook with coconut milk simmer beef 2 hours serve,640.0,44.0,56.0,28.0,4.0,Contains coconut; naturally gluten-free,
115,Vegetable and Chickpea Stew,Dinner,Vgn GF,6,800 g mixed veg;400 g chickpeas;1 L vegetable stock;spices simmer 30 minutes serve with bread or rice,420.0,18.0,56.0,12.0,14.0,Contains legumes; use GF bread for GF,
116,Grilled Lemon Garlic Prawns,Dinner,P GF,2,300 g prawns peeled;30 ml lemon garlic marinade grill 3–4 minutes serve with salad,320.0,28.0,4.0,18.0,0.5,Contains shellfish; naturally gluten-free,
117,Spinach and Feta Stuffed Peppers,Dinner,Vgt GF,4,4 large peppers halved;200 g spinach wilted;150 g feta;100 g cooked quinoa mix stuff and bake 20–25 minutes serve,380.0,18.0,28.0,18.0,6.0,Contains dairy; use dairy-free feta for DF,
118,Slow Roasted Beef Brisket,Dinner,P GF,6,1.5 kg beef brisket;200 g BBQ rub;200 ml beef stock slow roast 4–5 hours slice and serve,720.0,48.0,6.0,48.0,1.5,Contains none common; naturally gluten-free,
119,Vegetable Lo Mein,Dinner,Vgt,4,400 g egg noodles cooked;300 g mixed veg;30 ml soy sauce;15 ml sesame oil,Stir fry and serve.,520.0,14.0,76.0,18.0,6.0,Contains wheat and soy; use rice noodles and tamari for GF
120,Chicken and Mango Salad,Lunch,P GF,2,300 g grilled chicken sliced;100 g mango diced;100 g mixed leaves;15 ml lime dressing assemble and serve,420.0,36.0,28.0,18.0,3.5,Contains none common; naturally gluten-free,
121,Vegetarian Gnocchi Bake,Dinner,Vgt,4,500 g potato gnocchi;400 g tomato sauce;200 g spinach;100 g mozzarella;bake 20 minutes serve,520.0,18.0,64.0,20.0,4.0,Contains dairy and gluten in some gnocchi; use GF gnocchi and DF cheese for DF GF,
122,Grilled Trout with Almond Salsa,Dinner,P GF,2,300 g trout fillets;30 g almond salsa;200 g new potatoes grill trout 10–12 minutes serve with salsa,480.0,36.0,28.0,20.0,2.0,Contains fish and tree nuts; omit almonds for NF,
123,Vegetable and Lentil Dahl,Dinner,Vgn GF,6,400 g red lentils;1 L vegetable stock;200 g mixed veg;spices simmer 20–25 minutes serve with rice,420.0,28.0,56.0,8.0,14.0,Naturally gluten-free; contains legumes,
124,Chicken Marbella Leftover Bowl,Lunch,P,2,200 g leftover marinated chicken;100 g couscous;50 g pickled veg;assemble and serve,420.0,34.0,36.0,12.0,2.5,Contains none common; couscous contains gluten use quinoa for GF,
125,Roasted Vegetable and Hummus Plate,Snack,Vgn GF,2,400 g roasted veg;100 g hummus;30 g seeds,"Arrange the warm roasted vegetables on a large plate or platter. Spoon the hummus alongside or in the centre, and sprinkle with the mixed seeds. Drizzle with a little extra olive oil if desired and serve.",360.0,10.0,28.0,22.0,8.0,Contains sesame in hummus; use seed butter for NF
